CATEGORIA,DENSIDADCARGA,TIPO_INSTALACION,FECHA,HORA,INTERVALO,KWHD,KWHR,KVARHR,KVAHD,KVARH_LAG,KVARHR_1,KVARH_LEAD,PHASOR_KVAH,IA,IB,IC,AVG_IA_HARMONICS,AVG_IB_HARMONICS,AVG_IC_HARMONICS,VA,VB,VC,THD_VOLT_FASE_A,THD_VOLT_FASE_B,THD_VOLT_FASE_C,THD_CORRIENTE_FASE_A,THD_CORRIENTE_FASE_B,THD_CORRIENTE_FASE_C,KWD,KWR,KVARD,KVAD,NOMINAL_VOLTAGE_NVO,PT,CT,VA_DESV,VB_DESV,VC_DESV,IA_DESV,IB_DESV,IC_DESV,VOLTAJE_PROM,VOLTAJE_DESV_MAX,VOLTAJE_DESV_PORCENTAJE,CORRIENTE_PROM,CORRIENTE_DESV_MAX
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-08 13:30:00.000000 UTC,13,13:30,27.12,0.0,0.0,27.18,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,13320.1,13416.1,13452.1,0.02,0.02,0.02,0.18,0.12,0.12,108.48,0.0,0.0,108.72,13198.61,14400:120,50:5,121.48999999999978,217.48999999999978,253.48999999999978,1.0,0.0,1.0,13396.1,253.48999999999978,0.019205810308812805,2.0,1.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-29 10:00:00.000000 UTC,10,10:00,26.04,0.0,0.0,26.16,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13296.1,13368.1,13404.1,0.02,0.02,0.02,0.21,0.18,0.18,104.16,0.0,0.0,104.64,13198.61,14400:120,50:5,97.489999999999782,169.48999999999978,205.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13356.1,205.48999999999978,0.015569063712012081,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-29 11:15:00.000000 UTC,11,11:15,23.88,0.0,0.0,23.94,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13368.1,13440.1,13476.1,0.02,0.02,0.02,0.21,0.17,0.16,95.52,0.0,0.0,95.76,13198.61,14400:120,50:5,169.48999999999978,241.48999999999978,277.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13428.1,277.48999999999978,0.021024183607213167,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-14 18:30:00.000000 UTC,18,18:30,27.42,0.0,0.0,28.32,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13236.1,13272.1,13380.1,0.03,0.03,0.03,0.29,0.23,0.26,109.68,0.0,0.0,113.28,13198.61,14400:120,50:5,37.489999999999782,73.489999999999782,181.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13296.1,181.48999999999978,0.013750690413611719,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-15 19:15:00.000000 UTC,19,19:15,21.78,0.0,0.0,22.14,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13224.1,13272.1,13380.1,0.03,0.03,0.03,0.18,0.18,0.19,87.12,0.0,0.0,88.56,13198.61,14400:120,50:5,25.489999999999782,73.489999999999782,181.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13292.1,181.48999999999978,0.013750690413611719,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-03 12:45:00.000000 UTC,12,12:45,19.38,0.0,0.0,19.38,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13248.1,13344.1,13380.1,0.02,0.02,0.02,0.22,0.15,0.14,77.52,0.0,0.0,77.52,13198.61,14400:120,50:5,49.489999999999782,145.48999999999978,181.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13324.1,181.48999999999978,0.013750690413611719,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-10 15:15:00.000000 UTC,15,15:15,20.1,0.0,0.0,20.1,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13320.1,13368.1,13440.1,0.03,0.02,0.02,0.22,0.18,0.19,80.4,0.0,0.0,80.4,13198.61,14400:120,50:5,121.48999999999978,169.48999999999978,241.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13376.1,241.48999999999978,0.018296623659612623,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-23 16:15:00.000000 UTC,16,16:15,28.68,0.0,0.0,29.04,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13476.1,13512.1,13620.1,0.02,0.02,0.02,0.21,0.18,0.18,114.72,0.0,0.0,116.16,13198.61,14400:120,50:5,277.48999999999978,313.48999999999978,421.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13536.1,421.48999999999978,0.03193442339761534,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-08 15:15:00.000000 UTC,15,15:15,25.2,0.0,0.0,25.2,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13476.1,13560.1,13620.1,0.02,0.02,0.02,0.14,0.08,0.07,100.8,0.0,0.0,100.8,13198.61,14400:120,50:5,277.48999999999978,361.48999999999978,421.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13552.1,421.48999999999978,0.03193442339761534,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-03 13:30:00.000000 UTC,13,13:30,22.68,0.0,0.0,22.68,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13308.1,13380.1,13440.1,0.02,0.02,0.02,0.2,0.16,0.14,90.72,0.0,0.0,90.72,13198.61,14400:120,50:5,109.48999999999978,181.48999999999978,241.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13376.1,241.48999999999978,0.018296623659612623,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-09 06:15:00.000000 UTC,6,06:15,20.94,0.0,0.0,21.42,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13224.1,13296.1,13380.1,0.02,0.02,0.02,0.11,0.09,0.09,83.76,0.0,0.0,85.68,13198.61,14400:120,50:5,25.489999999999782,97.489999999999782,181.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13300.1,181.48999999999978,0.013750690413611719,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-04 08:00:00.000000 UTC,8,08:00,19.68,0.0,0.0,20.22,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13272.1,13368.1,13380.1,0.02,0.02,0.02,0.12,0.08,0.11,78.72,0.0,0.0,80.88,13198.61,14400:120,50:5,73.489999999999782,169.48999999999978,181.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13340.1,181.48999999999978,0.013750690413611719,1.6666666666666667,0.66666666666666674
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-14 06:15:00.000000 UTC,6,06:15,20.22,0.0,0.0,20.82,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,13248.1,13320.1,13380.1,0.02,0.02,0.02,0.15,0.14,0.14,80.88,0.0,0.0,83.28,13198.61,14400:120,50:5,49.489999999999782,121.48999999999978,181.48999999999978,0.66666666666666674,0.33333333333333326,0.33333333333333326,13316.1,181.48999999999978,0.013750690413611719,1.6666666666666667,0.66666666666666674
